테마분류,코스 아이디,관광지 아이디,지역 아이디,관광지명,경도(도),위도(도),코스순서,이동시간,실내구분,테마명,지역,관광지명_분리
TH05,77,7705,1117051000,(서울)N서울타워,126.989146,37.55093,5,3,실외,종교/역사/전통,서울,N서울타워
TH06,55,5502,1114055000,(서울)명동거리,126.984657,37.562962,2,1,실외,쇼핑/놀이,서울,명동거리
TH05,295,29507,1111060000,(서울)북촌 한옥마을,126.9893397,37.58303815,7,13,실외,종교/역사/전통,서울,북촌 한옥마을
TH01,52,5203,1144066000,(서울)홍대벽화거리&포시즌하우스,126.923716,37.550134,3,3,실외,문화/예술,서울,홍대벽화거리&포시즌하우스
TH01,76,7603,1114059000,(서울)동대문디자인플라자,127.009456,37.566917,3,1,실내,문화/예술,서울,동대문디자인플라자
TH05,295,29508,1111061500,(서울)창덕궁,126.9932026,37.5825519,8,15,실외,종교/역사/전통,서울,창덕궁
TH03,295,29509,1111061500,(서울)청계광장,126.9791179,37.56941014,9,17,실외,자연/힐링,서울,청계광장
TH01,295,29506,1111061500,(서울)인사동,126.9865201,37.57329992,6,11,실외,문화/예술,서울,인사동
TH05,295,29501,1111053000,(서울)광화문,126.9747661,37.57123291,1,0,실외,종교/역사/전통,서울,광화문
TH06,57,5701,1171056601,(서울)롯데월드,127.099008,37.511973,1,0,실외,쇼핑/놀이,서울,롯데월드
TH03,58,5804,1144066000,(서울)한강(여의도),126.939071,37.52492,4,5,실외,자연/힐링,서울,한강(여의도)
TH05,64,6403,1117063000,(서울)국립중앙박물관,126.981058,37.523828,3,3,실내,종교/역사/전통,서울,국립중앙박물관
TH06,55,5501,1114054000,(서울)남대문시장,126.977558,37.559064,1,0,실외,쇼핑/놀이,서울,남대문시장
TH01,61,6105,1114052000,(서울)덕수궁미술관,126.973743,37.565885,5,4,실내,문화/예술,서울,덕수궁미술관
TH01,57,5702,1168051000,(서울)코엑스몰,127.059261,37.511954,2,4,실내,문화/예술,서울,코엑스몰
